,family,dt name,sc name,cat,bemerkungen,einteilung,untergruppe
76,Nachtschwalben (Caprimulgidae),Ziegenmelker,Caprimulgus europaeus L.,EN,,Vögel,Andere
77,Segler (Apodidae),Alpensegler,Apus melba (L.),NT,Bestand nur dank Schutzprogrammen so hoch,Vögel,Andere
78,Segler (Apodidae),Mauersegler,Apus apus (L.),NT,auf Schutzmassnahmen angewiesen,Vögel,Andere
79,Segler (Apodidae),Fahlsegler,Apus pallidus (Shelley),VU,,Vögel,Andere
80,Eisvögel (Alcedinidae),Eisvogel,Alcedo atthis (L.),VU,,Vögel,Andere
81,Bienenfresser (Meropidae),Bienenfresser,Merops apiaster L.,EN,,Vögel,Andere
82,Wiedehopfe (Upupidae),Wiedehopf,Upupa epops L.,VU,,Vögel,Andere
83,Spechte (Picidae),Wendehals,Wendehals Jynx torquilla L.,NT,,Vögel,Spechte
84,Spechte (Picidae),Grauspecht,Picus canus Gmel.,VU,,Vögel,Spechte
85,Spechte (Picidae),Grünspecht,Picus viridis L.,LC,,Vögel,Spechte
86,Spechte (Picidae),Schwarzspecht,Dryocopus martius (L.),LC,,Vögel,Spechte
87,Spechte (Picidae),Buntspecht,Dendrocopos major (L.),LC,,Vögel,Spechte
88,Spechte (Picidae),Mittelspecht,Dendrocopos medius (L.),NT,,Vögel,Spechte
89,Spechte (Picidae),Weissrückenspecht,Dendrocopos leucotos (Bechst.),VU,,Vögel,Spechte
90,Spechte (Picidae),Kleinspecht,Dendrocopos minor (L.),LC,,Vögel,Spechte
91,Spechte (Picidae),Dreizehenspecht,Picoides tridactylus (L.),LC,,Vögel,Spechte
92,Lerchen (Alaudidae),Haubenlerche,Galerida cristata (L.),RE,Letzter Brutnachweis: 1976,Vögel,Singvögel
93,Lerchen (Alaudidae),Heidelerche,Lullula arborea (L.),VU,,Vögel,Singvögel
94,Lerchen (Alaudidae),Feldlerche,Alauda arvensis L.,NT,,Vögel,Singvögel
95,Schwalben (Hirundinidae),Uferschwalbe,Riparia riparia (L.),VU,,Vögel,Singvögel
96,Schwalben (Hirundinidae),Felsenschwalbe,Ptyonoprogne rupestris (Scop.),LC,,Vögel,Singvögel
97,Schwalben (Hirundinidae),Rauchschwalbe,Hirundo rustica L.,LC,,Vögel,Singvögel
98,Schwalben (Hirundinidae),Mehlschwalbe,Delichon urbicum (L.),NT,,Vögel,Singvögel
99,Pieper und Stelzen (Motacillidae),Brachpieper,Anthus campestris (L.),EN,"letzter Brutnachweis 2001, seither vereinzelte Sänger",Vögel,Singvögel
100,Pieper und Stelzen (Motacillidae),Baumpieper,Anthus trivialis (L.),LC,,Vögel,Singvögel
101,Pieper und Stelzen (Motacillidae),Wiesenpieper,Anthus pratensis (L.),VU,,Vögel,Singvögel
102,Pieper und Stelzen (Motacillidae),Bergpieper,Anthus spinoletta (L.),LC,,Vögel,Singvögel
103,Pieper und Stelzen (Motacillidae),Schafstelze,Motacilla flava L.,NT,,Vögel,Singvögel
104,Pieper und Stelzen (Motacillidae),Bergstelze,Motacilla cinerea Tunst.,LC,,Vögel,Singvögel
105,Pieper und Stelzen (Motacillidae),Bachstelze,Motacilla alba L.,LC,,Vögel,Singvögel
106,Wasseramseln (Cinclidae),Wasseramsel,Cinclus cinclus (L.),LC,,Vögel,Singvögel
107,Zaunkönige (Troglodytidae),Zaunkönig,Troglodytes troglodytes (L.),LC,,Vögel,Singvögel
108,Braunellen (Prunellidae),Heckenbraunelle,Prunella modularis (L.),LC,,Vögel,Singvögel
109,Braunellen (Prunellidae),Alpenbraunelle,Prunella collaris (Scop.),LC,,Vögel,Singvögel
110,Drosselvögel (Turdidae),Rotkehlchen,Erithacus rubecula (L.),LC,,Vögel,Singvögel
111,Drosselvögel (Turdidae),Nachtigall,Luscinia megarhynchos Brehm,NT,"starker Rückgang im Wallis, schlecht dokumentiert",Vögel,Singvögel
112,Drosselvögel (Turdidae),Blaukehlchen*,Luscinia svecica (L.),VU,,Vögel,Singvögel
113,Drosselvögel (Turdidae),Hausrotschwanz,Phoenicurus ochruros (Gmel.),LC,,Vögel,Singvögel
114,Drosselvögel (Turdidae),Gartenrotschwanz,Phoenicurus phoenicurus (L.),NT,,Vögel,Singvögel
115,Drosselvögel (Turdidae),Braunkehlchen,Saxicola rubetra (L.),VU,,Vögel,Singvögel
116,Drosselvögel (Turdidae),Schwarzkehlchen,Saxicola torquatus (L.),NT,,Vögel,Singvögel
117,Drosselvögel (Turdidae),Steinschmätzer,Oenanthe oenanthe (L.),LC,,Vögel,Singvögel
118,Drosselvögel (Turdidae),Steinrötel,Monticola saxatilis (L.),LC,,Vögel,Singvögel
119,Drosselvögel (Turdidae),Blaumerle,Monticola solitarius (L.),EN,,Vögel,Singvögel
120,Drosselvögel (Turdidae),Ringdrossel,Turdus torquatus L.,VU,,Vögel,Singvögel
121,Drosselvögel (Turdidae),Amsel,Turdus merula L.,LC,,Vögel,Singvögel
122,Drosselvögel (Turdidae),Wacholderdrossel,Turdus pilaris L.,VU,,Vögel,Singvögel
123,Drosselvögel (Turdidae),Singdrossel,Turdus philomelos Brehm,LC,,Vögel,Singvögel
124,Drosselvögel (Turdidae),Misteldrossel,Turdus viscivorus L.,LC,,Vögel,Singvögel
125,Zweigsänger (Sylviidae),Seidensänger*,Cettia cetti (Temm.),VU,,Vögel,Singvögel
126,Zweigsänger (Sylviidae),Feldschwirl,Locustella naevia (Bodd.),NT,,Vögel,Singvögel
127,Zweigsänger (Sylviidae),Rohrschwirl,Locustella luscinioides (Savi),NT,,Vögel,Singvögel
128,Zweigsänger (Sylviidae),Mariskensänger*,Acrocephalus melanopogon (Temm.),VU,,Vögel,Singvögel
129,Zweigsänger (Sylviidae),Teichrohrsänger,Acrocephalus scirpaceus (Herm.),LC,,Vögel,Singvögel
130,Zweigsänger (Sylviidae),Sumpfrohrsänger,Acrocephalus palustris (Bechst.),LC,,Vögel,Singvögel
131,Zweigsänger (Sylviidae),Drosselrohrsänger,Acrocephalus arundinaceus (L.),NT,,Vögel,Singvögel
132,Zweigsänger (Sylviidae),Gelbspötter,Hippolais icterina (Vieill.),VU,,Vögel,Singvögel
133,Zweigsänger (Sylviidae),Orpheusspötter,Hippolais polyglotta (Vieill.),NT,,Vögel,Singvögel
134,Zweigsänger (Sylviidae),Mönchsgrasmücke,Sylvia atricapilla (L.),LC,,Vögel,Singvögel
135,Zweigsänger (Sylviidae),Gartengrasmücke,Sylvia borin (Bodd.),NT,,Vögel,Singvögel
136,Zweigsänger (Sylviidae),Sperbergrasmücke*,Sylvia nisoria (Bechst.),VU,,Vögel,Singvögel
137,Zweigsänger (Sylviidae),Klappergrasmücke,Sylvia curruca (L.),LC,,Vögel,Singvögel
138,Zweigsänger (Sylviidae),Orpheusgrasmücke*,Sylvia hortensis (Gmel.),RE,"letzter Brutnachweis: 1989, 1990 eine mögliche Brut",Vögel,Singvögel
139,Zweigsänger (Sylviidae),Dorngrasmücke,Sylvia communis Lath.,NT,,Vögel,Singvögel
