FAMILY,Scientific name,CAT,Kriterien IUCN,NHV,Bemerkungen
Lebermoose – Hepaticae,Targionia hypophylla L.,VU,D2,,abhängig vom Schutz der Trocken-standorte
Lebermoose – Hepaticae,Trichocolea tomentella (Ehrh.) Dum.,LC,,,
Lebermoose – Hepaticae,Tritomaria exsecta (Schrad.) Loeske,LC,,,
Lebermoose – Hepaticae,Tritomaria exsectiformis (Breidl.) Loeske,NT,A2b,,
Lebermoose – Hepaticae,Tritomaria polita (Nees) Jørg.,LC,,,
Lebermoose – Hepaticae,Tritomaria quinquedentata (Huds.) Buch,LC,,,
Lebermoose – Hepaticae,Tritomaria scitula (Tayl.) Jørg.,LC,,,
Laubmoose – Musci,Acaulon muticum (Hedw.) C. Müll.,CR,"A2b; B2ab(ii,iii,iv)",,starker Rückgang durch intensivierte Landwirtschaft
Laubmoose – Musci,Acaulon triquetrum (Spruce) C. Müll.,VU,D2,,abhängig vom Schutz der Trocken-standorte
Laubmoose – Musci,Aloina aloides (K. F. Schultz) Kindb.,CR,B2ab(iv),,abhängig vom Schutz der Trocken-standorte
Laubmoose – Musci,Aloina brevirostris (Hook. & Grev.) Kindb.,VU,D2,,
Laubmoose – Musci,Aloina rigida (Hedw.) Limpr.,NT,D2,,
Laubmoose – Musci,Amblyodon dealbatus (Hedw.) P. Beauv.,VU,A2b,,"im Jura stärker gefährdet, letzter Fund dort 1903"
Laubmoose – Musci,Amblystegium compactum (C. Müll.) Aust.,VU,D2,,"möglicherweise ausgestorben, letzter Fund 1921"
Laubmoose – Musci,Amblystegium confervoides (Brid.) Schimp.,LC,,,
Laubmoose – Musci,Amblystegium fluviatile (Hedw.) Schimp.,VU,D2,,abhängig vom Gewässerschutz
Laubmoose – Musci,Amblystegium humile (P. Beauv.) Crundw.,VU,D2,,
Laubmoose – Musci,Amblystegium jungermannioides (Brid.) A. J. E.,LC,,,
Laubmoose – Musci,Amblystegium riparium (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Amblystegium saxatile Schimp.,VU,D2,,
Laubmoose – Musci,Amblystegium serpens (Hedw.) Schimp.,NE,,,
Laubmoose – Musci,Amblystegium serpens (Hedw.) Schimp. subsp. juratzkanum (Schimp.) Ren. & Card.,LC,,,
Laubmoose – Musci,Amblystegium serpens (Hedw.) Schimp. subsp. serpens,LC,,,
