ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. melanarius Sturm,4,4,4,Waldtümpel mit viel Laub
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. morio Aube,2,2,2,"Moore, Gewässer"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. neglectus Schaum,-,2,2,Laubwaldtümpel (acidophile Art)
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. nigellus Mannerheim,-,3,3,"kleine stehende-Gewässer, alpine Tümpel"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. nivalis Heer,3,3,3,"alpine Gewässer, Schmelzwassertümpel"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. obscurus Sturm,3,-,3,"Hochmoore, Torfstiche"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. obsoletus Aube,2,-,2,offene Quellen
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. pubescens (Gyllenhal),3,3,3,"Tümpel, Moore (montane Art)"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. rufifrons (Müller),3,3,3,"Tümpel, stehende Gewässer mit Vegetation"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. striola(Gyllenhal),2,2,2,"Hochmoore, Waldtümpel mit Laub"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. umbrosus (Gyllenhal),3,3,3,"Hochmoore, Tümpel mit Vegetation"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Hydrovatus cuspidatus (Kunze),4,-,4,stehende Gewässer
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Hygrotus quinquelineatus (Zetterstedt),1,1,1,"grosse Tümpel, Seen mit sandigem Boden"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),H. versicolor (Schaller),2,-,2,Tümpel mit Vegetation
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),llybius aenescens Thomson,2,-,2,"Hochmoore, Torfstiche"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),1. crassus Thomson,2,2,2,Hochmoore (boreoalpine Art)
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),I. fenestratus (Fabricius),3,3,3,"Seeufer, klare und mit Pflanzen bewachsene Tümpel"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),I. guttiger (Gyllenhal),2,-,2,Moore
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),I. similis Thomson,2,-,2,"ruhige Gewässer, Moore"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),I. subaeneus Erichson,4,-,4,"Moore, Tümpel"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Laccophilus ponticus Sharp,3,3,3,"Moore, seichteTümpel"
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),Nebrioporus assimilis (Paykull),2,2,2,Bergseen und Bäche mit sandigem Boden
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),N. canaliculatus (Lacordaire),3,-,3,stehende Gewässer mit wenig Vegetation
ADEPHAGA (Wasserkäfer),Dytiscidae (Schwimmkäfer),N. depressus (Fabricius),3,3,3,"grössere Tümpel, Seen mit wenig Vegetation"
