family,sc name,dt name,cat,bemerkungen,einteilung,Untergruppe
Landschnecken,Ruthenica filograna,Zierliche Schliessmundschnecke,EN,Wälder,Weichtiere,Landschnecken
Landschnecken,Semilimax kotulae,Berg-Glasschnecke,VU,Wälder,Weichtiere,Landschnecken
Landschnecken,Semilimax semilimax,Weitmündige Glasschnecke,EN,Wälder,Weichtiere,Landschnecken
Landschnecken,Solatopupa similis,Bläuliche Kornschnecke,CR,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Sphyradium doliolum,Kleine Fässchenschnecke,VU,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Tandonia nigra,Generoso-Kielschnegel,CR,Wälder,Weichtiere,Landschnecken
Landschnecken,Tandonia rustica,Grosser Kielschnegel,NT,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Trochulus biconicus,Nidwaldner Haarschnecke,VU,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Trochulus caelatus,Flache Haarschnecke,VU,Felsen und Steinschutt,Weichtiere,Landschnecken
Landschnecken,Trochulus hispidus,Gemeine Haarschnecke,NT,"Wälder, Wiesen und Weiden, Felsen und Steinschutt, Säume",Weichtiere,Landschnecken
Landschnecken,Trochulus montanus,Berghaarschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Trochulus striolatus,Gestreifte Haarschnecke,NT,Wälder,Weichtiere,Landschnecken
Landschnecken,Truncatellina callicratis,Südliche Zylinderwindelschnecke,NT,"Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
Landschnecken,Truncatellina claustralis,Kleine Zylinderwindelschnecke,EN,Wiesen und Weiden,Weichtiere,Landschnecken
Landschnecken,Truncatellina monodon,Rotbraune Zylinderwindelschnecke,VU,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,Landschnecken
