Art,CH
Pannaria rubiginosa (Ach.) Bory 1828,RE
Parmelia acetabulum (Necker) Duby 1830,NT
Parmelia caperata (L.) Ach. 1803,LC
Parmelia elegantula (Zahlbr.) Szat. 1930,NT
Parmelia exasperata De Not. 1847,NT
Parmelia exasperatula Nyl. 1873,LC
Parmelia flaventior Stirton 1878,NT
Parmelia glabra (Schaerer) Nyl. 1872,NT
Parmelia glabratula (Lamy) Nyl. 1883,LC
Parmelia laciniatula (Oliv.) Zahlbr. 1916,EN
Parmelia laevigata (Sm.) Ach. 1814,EN
Parmelia minarum Vainio 1890,EN
Parmelia pastillifera (Harm.) Schubert & Klement 1966,NT
Parmelia quercina (Willd.) Vainio 1899,NT
Parmelia reticulata Taylor  1836,CR
Parmelia revoluta Flörke 1827,LC
Parmelia saxatilis (L.) Ach. 1801,LC
Parmelia septentrionalis (Lynge) Ahti 1966,EN
Parmelia sinuosa (Sm.) Ach. 1814,VU
Parmelia subargentifera Nyl. 1875,LC
Parmelia subaurifera Nyl. 1873,LC
Parmelia submontana Hale 1987,LC
Parmelia subrudecta aggr.,LC
Parmelia sulcata Taylor 1836,LC
Parmelia taylorensis Mitch. 1923,VU
Parmelia tiliacea (Hoffm.) Ach. 1803,LC
Parmeliella triptophylla (Ach.) Müll.Arg.1862,NT
Parmeliopsis ambigua (Wulfen) Nyl. 1863,LC
Parmeliopsis hyperopta (Ach.) Arnold 1880,LC
Parmotrema arnoldii (Du Rietz) Hale 1974,VU
Parmotrema chinense (Osbeck) Hale & Ahti 1986,VU
Parmotrema crinitum (Ach.) Choisy 1952,VU
Parmotrema stuppeum (Taylor) Hale 1974,EN
Peltigera collina (Ach.) Schrader 1801,NT
Pertusaria aff. pulvereo-sulphurata Harmand 1913,LC
Pertusaria albescens (Hudson) Choisy & Werner 1932,LC
Pertusaria alpina Ahles 1860,VU
Pertusaria amara (Ach.) Nyl. 1873,LC
Pertusaria borealis Erichsen 1938,EN
Pertusaria coccodes (Ach.) Nyl. 1857,VU
Pertusaria constricta Erichsen 1936,VU
Pertusaria coronata (Ach.) Th.Fr. 1871,VU
Pertusaria flavida (DC.) Laundon 1963,EN
Pertusaria hemisphaerica (Flörke) Erichsen 1932,EN
Pertusaria leioplaca DC. 1815,LC
Pertusaria multipuncta (Turner) Nyl. 1861,EN
Pertusaria ophthalmiza (Nyl.) Nyl. 1865,VU
Pertusaria pertusa (Weigel) Tuck. 1845,EN
Pertusaria pupillaris (Nyl.) Th.Fr. 1871,NT
Pertusaria pustulata (Ach.) Duby 1830,EN
Pertusaria sommerfeltii (Sommerf.) Fr. 1831,EN
Pertusaria trachythallina Erichsen 1940,RE
Phaeophyscia chloantha (Ach.) Moberg 1978,LC
Phaeophyscia ciliata (Hoffm.) Moberg 1977,NT
Phaeophyscia endophoenicea (Harm.) Moberg 1977,LC
Phaeophyscia hirsuta (Mereschk.) Moberg 1978,NT
Phaeophyscia hispidula (Ach.) Moberg 1978,CR
Phaeophyscia insignis (Mereschk.) Moberg 1978,EN
Phaeophyscia orbicularis (Necker) Moberg 1977,LC
Phaeophyscia poeltii (Frey) Nimis 1993,VU
Phlyctis agelaea (Ach.) Flotow 1850,NT
Phlyctis argena (Sprengel) Flotow 1850,LC
Physcia adscendens (Fr.) Oliv. 1882,LC
Physcia aipolia (Humb.) Furnr. 1839,LC
Physcia clementei (Turner) Maas Geest. 1952,EN
Physcia stellaris (L.) Nyl. 1856,LC
Physcia tenella (Scop.) DC. 1805,LC
Physcia vitii Nadv. 1947,VU
Physconia distorta (With.) Laundon 1984,LC
Physconia enteroxantha (Nyl.) Poelt 1966,NT
Physconia grisea (Lam.) Poelt1965,NT
Physconia perisidiosa (Erichsen) Moberg1977,NT
Placynthiella dasaea (Stirton) Tønsberg1992,LC
Placynthiella icmalea (Ach.) Coppins & P.James 1984,LC
Platismatia glauca (L.) W.Culb. & C.F. Culb. 1968,LC
Porina aenea (Wallr.) Zahlbr. 1922,LC
Porina leptalea (Durieu & Mont.) A.L.Sm. 1911,LC
"Protoparmelia hypotremella Herk, Spier & V.Wirth 1997",LC
Pseudevernia furfuracea (L.) Zopf 1903,LC
Pyrenula laevigata (Pers.) Arnold 1885,NT
Pyrenula nitida (Weigel) Ach. 1814,LC
Pyrenula nitidella (Schaerer) Müll.Arg. 1885,NT
Ramalina dilacerata (Hoffm.) Hoffm. 1825,EN
Ramalina farinacea (L.) Ach. 1810,LC
Ramalina fastigiata (Pers.) Ach. 1810,VU
