ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. subauratus (ROSSI.),2,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. tectus RAD.,-,0,0,. früher Kt. Wallis
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Lasioglossum albocinctum (LUC.),-,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. brevicorne (SCHCK.),-,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. breviventre (SCHCK.),4,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. buccale (PER.),-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. convexiusculum (SCHCK.),0,3,3,Magerrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. costulatum (KR.),0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. discum (SM.),-,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Lasioglossum elegans (LEP.),-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. glabriusculum (MOR.),3,3,3,"Magerrasen, Sand"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. griseolum (MOR.),1,3,3,Magerrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. interruptum (PZ.),3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. laeve (K.),0,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. laevidorsum prisneriellum (WA.),-,4,4,Trockenrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. lativentre (SCHCK.),3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. limbellum (MOR.),2,3,3,"Magerrasen, Sand ,"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. lineare (SCHCK.),3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. lissonotum (NOS.),4,4,4,"Magerrasen, xerotherm"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. majus (NYL.),2,3,3,"Magerrasen, Sand"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. marginatum (BR.),1,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. marginellum (SCHCK.),-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. minutulum (SCHCK.),3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. nigripes (LEP.),3,n,3,Trockenrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. pallens (BR.),3,3,3,"Trockenrasen, Waldränder"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. parvulum (SCHCK.),3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. pauperatum (BR.),1,-,1,"Trockenrasen, Sand"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. peregrinum (BL.),1,0,1,früher Kt. Tessin
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. puncticolle (MOR.),2,2,2,"Magerrasen, Sand"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. pygmaeum (SCHCK.),2,-,2,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. quadrinotatulum (SCHCK.),-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. quadrinotatum (K.),1,0,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. quarisignatum (SCHCK.),-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. sexmaculatum (SCHCK.),-,0,0,früher Engadin
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. sexnotatum (K.),0,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. sexstrigatum (SCHCK.),3,3,3,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. sphecodimorphum (VACH.),-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. subfasciatum (IMH.),0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. subhirtum (LEP.),-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. tarsatum (SCHCK.),-,0,0,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. tricinctum (SCHCK.),3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),L. xanthopus (K.),2,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Pseudapis diversipes LATR.,-,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Rophites algirus PER.,2,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),R. quinquespinosus SPIN.,1,0,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Rhophitoides canus (EV.),0,1,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Sphecodes albilabris (F.),3,3,3,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. alternatus SM.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. cristatus HAG.,1,0,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. dusmeti BLUE.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. majalis PER.,4,-,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. pellucidus SM.,3,3,3,i n Sandgebieten
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. pseudofasciatus BLUE.,2,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. reticulatus THS.,0,3,3,i n Sandgebieten
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. rubicundus HAG.,0,-,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. ruficrus (ERICH.),2,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. scabricollis WESM.,4,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. schencki HAG.,2,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. spinulosus HAG.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Systropha curvicornis (SCOP.),-,1,1,auf Convolvulus
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),S. planidens GIR.,0,-,0,auf Convolvulus
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Farn. Melittidae,,,,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Dasypoda argentata (PZ.),-,2,2,auf Skabiosa
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),D. hirtipes (F.),2,3,3,"Sandbewohner, auf Asteraceae"
