FAMILY,Deutscher Name,Scientific name,CAT,Criteria,Bemerkungen
Krähenvögel (Corvidae),Kolkrabe,Corvus corax L.,LC,,
Stare (Sturnidae),Star,Sturnus vulgaris L.,LC,,
Sperlinge (Passeridae),Haussperling,Passer domesticus (L.),LC,,
Sperlinge (Passeridae),Italiensperling,Passer hispaniolensis italiae (Vieill.),LC,,
Sperlinge (Passeridae),Feldsperling,Passer montanus (L.),LC,,
Sperlinge (Passeridae),Schneesperling,Montifringilla nivalis (L.),LC,,
Finkenvögel (Fringillidae),Buchfink,Fringilla coelebs L.,LC,,
Finkenvögel (Fringillidae),Girlitz,Serinus serinus (L.),LC,,
Finkenvögel (Fringillidae),Zitronengirlitz,Serinus citrinella (Pall.),LC,,
Finkenvögel (Fringillidae),Grünfink,Carduelis chloris (L.),LC,,
Finkenvögel (Fringillidae),Distelfink,Carduelis carduelis (L.),LC,,
Finkenvögel (Fringillidae),Erlenzeisig,Carduelis spinus (L.),LC,,
Finkenvögel (Fringillidae),Hänfling,Carduelis cannabina (L.),NT,°,
Finkenvögel (Fringillidae),Alpenbirkenzeisig,Carduelis cabaret (L.),LC,,
Finkenvögel (Fringillidae),Fichtenkreuzschnabel,Loxia curvirostra L.,LC,,
Finkenvögel (Fringillidae),Karmingimpel*,Carpodacus erythrinus (Pall.),VU,D**,
Finkenvögel (Fringillidae),Gimpel,Pyrrhula pyrrhula (L.),LC,,
Finkenvögel (Fringillidae),Kernbeisser,Coccothraustes coccothraustes (L.),LC,,
Ammern (Emberizidae),Goldammer,Emberiza citrinella L.,LC,,
Ammern (Emberizidae),Zaunammer,Emberiza cirlus L.,NT,B2ac(iv)*,
Ammern (Emberizidae),Zippammer,Emberiza cia L.,LC,,
Ammern (Emberizidae),Ortolan,Emberiza hortulana L.,CR,"B1ab, C1, D",
Ammern (Emberizidae),Rohrammer,Emberiza schoeniclus (L.),VU,C1,
Ammern (Emberizidae),Grauammer,Emberiza calandra L.,VU,"C1, D1",
