FAMILY,Scientific name,Deutscher Name,Kat.,IUCN-Kriterien,Bemerkungen
Wasserschnecken,Bythiospeum francomontanum,Freiberger Brunnenschnecke,NT,,Quellen und unterirdische Gewässer
Wasserschnecken,Bythiospeum rhenanum,Oberrheinische Brunnenschnecke,VU,"B2a, B2b(iii,iv)",Quellen und unterirdische Grundwasser
Wasserschnecken,Bythiospeum sterkianum,Sterkis Brunnenschnecke,NT,,Quellen und unterirdische Gewässer
Wasserschnecken,Graziana quadrifoglio,Vierblatt-Zwergdeckelschnecke,VU,"B2a, B2b(iii,iv)","Quellen und unterirdische Gewässer, endemisch"
Wasserschnecken,Gyraulus acronicus,Verbogenes Posthörnchen,EN,"B2a, B2b(iii, iv)",Kiesiger Grund der Seen und grossen Fliessgewässer
Wasserschnecken,Gyraulus crista,Zwergposthörnchen,NT,,"Seen, kleine Stehgewässer und Moore"
Wasserschnecken,Gyraulus laevis,Glattes Posthörnchen,VU,"B2a, B2b(i,ii,iii,ivi)",Steh- und Fliessgewässer
Wasserschnecken,Islamia minuta,Rundmundige Quellschnecke,NT,,Quellen und unterirdische Gewässer
Wasserschnecken,Marstoniopsis insubrica,Insubrische Zwergdeckelschnecke,RE,,"Uferzone der Stehgewässer, letzter Nachweis 1957"
Wasserschnecken,Physa fontinalis,Quell-Blasenschnecke,VU,"B2a, B2b(iii)","Kaltgewässer der Seen, Fliessgewässer und Quellen"
Wasserschnecken,Radix ampla,Weitmündige Schlammschnecke,VU,"B2a, B2b(iii)",Geschützte See- und Flussufer
Wasserschnecken,Segmentina nitida,Glänzende Tellerschnecke,VU,"B2a, B2b(iii)",Seeufer und Moore und Gräben mit organischem Schlamm
Wasserschnecken,Theodoxus fluviatilis,Gemeine Kahnschnecke,CR,"B2a, B2b(iii, iv)",Steh- und Fliessgewässer
Wasserschnecken,Valvata macrostoma,Stumpfe Federkiemenschnecke,EN,"B2a, B2b(iii, iv)",Auengebiete der grossen Fliessgewässer
Wasserschnecken,Valvata studeri,Bayerische Federkiemenschnecke,EN,"B2a, B2b(iii, iv)",Moore in Kontakt mit grossen Seen und Flüssen
Wasserschnecken,Viviparus contectus,Spitze Sumpfdeckelschnecke,EN,"B2a, B2b(i, ii, iii, vi)",Weiher und Auengebiete der grossen Fliessgewässer
Süsswassermuscheln,Anodonta anatina,Flache Teichmuschel,VU,"B2a, B2b(i,ii,iii)","Seeufer, Altwässer"
Süsswassermuscheln,Anodonta sp.,,EN,"B2a, B2b(iii,iv)","Seeufer, Altwässer"
Süsswassermuscheln,Microcondylaea compressa,Kleinzahn-Flussmuschel,RE,,"Einziger Nachweis aus dem Jahre 1923. Seeufer, Atlwässer"
Süsswassermuscheln,Pisidium amnicum,Grosse Erbsenmuschel,NT,,Sandiger bis lehmiger Grund der Seen und Flüsse
Süsswassermuscheln,Pisidium conventus,See-Erbsenmuschel,VU,"B2a, B2b(iii)",Kaltgewässer der grossen Seen und alpinen Stehgewässer
Süsswassermuscheln,Pisidium hibernicum,Glatte Erbsenmuschel,NT,,"Seen, Weiher, Flüsse und Kanäle"
Süsswassermuscheln,Pisidium lilljeborgii,Kreisrunde Erbsenmuschel,VU,"B2a, B2b(iii)",Sauerstoffreiche Uferzonen der grossen Seen
Süsswassermuscheln,Pisidium obtusale,Stumpfe Erbsenmuschel,NT,,"Seeufer, Weiher und Moore"
Süsswassermuscheln,Pisidium pseudosphaerium,Kugelige Erbsenmuschel,EN,"B2a, B2b(i, ii)",Weiher und Moore der Tieflagen
Süsswassermuscheln,Pisidium supinum,Dreieckige Erbsenmuschel,NT,,Sandiger bis lehmiger Grund der Seen und Flüsse
Süsswassermuscheln,Pisidium tenuilineatum,Kleinste Erbsenmuschel,VU,"B2a, B2b(iii)",Fliessgewässer und phosphatarme Uferzonen
Süsswassermuscheln,Unio crassus,Gemeine Bachmuschel,CR,"B2a, B2b(i, ii, iii)","Sehr saubere Gewässer: Gräben, Bäche, Flüsse, Seeufer"
Süsswassermuscheln,Unio pictorum mancus,Südliche Malermuschel,EN,"B2a, B2b(i, ii, iii)","Seeufer (Schlamm/Sand), Altwässer"
Süsswassermuscheln,Unio pictorum pictorum,Malermuschel,EN,"B2a , B2b(i, ii, iii)","Seeufer (Sand, Feinkies), Altwässer"
Süsswassermuscheln,Unio tumidus,Aufgeblasene Flussmuschel,EN,"B2a, B2b(i, ii, iii)","Seeufer (Schlamm/Sand), Altwässer"
