Jahr,ID,Name,Partei,Departement,Dep kurz,Partei
2001,100,"Dreifuss, Ruth",GE,Eidgenössisches Departement des Innern ,EDI,SP
2001,104,"Deiss, Joseph",FR,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
2001,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2001,105,"Schmid, Samuel",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2001,099,"Villiger, Kaspar",LU,Eidgenössisches Finanzdepartement ,EFD,FDP
2001,103,"Metzler-Arnold, Ruth",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
2001,102,"Couchepin, Pascal",VS,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
2000,100,"Dreifuss, Ruth",GE,Eidgenössisches Departement des Innern ,EDI,SP
2000,104,"Deiss, Joseph",FR,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
2000,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2000,097,"Ogi , Adolf",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2000,099,"Villiger, Kaspar",LU,Eidgenössisches Finanzdepartement ,EFD,FDP
2000,103,"Metzler-Arnold, Ruth",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
2000,102,"Couchepin, Pascal",VS,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1999,100,"Dreifuss, Ruth",GE,Eidgenössisches Departement des Innern ,EDI,SP
1999,104,"Deiss, Joseph",FR,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
1999,096,"Cotti , Flavio",TI,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
1999,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
1999,097,"Ogi , Adolf",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
1999,099,"Villiger, Kaspar",LU,Eidgenössisches Finanzdepartement ,EFD,FDP
1999,103,"Metzler-Arnold, Ruth",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1999,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1999,102,"Couchepin, Pascal",VS,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1998,100,"Dreifuss, Ruth",GE,Eidgenössisches Departement des Innern ,EDI,SP
1998,096,"Cotti , Flavio",TI,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
1998,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
1998,097,"Ogi , Adolf",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
1998,099,"Villiger, Kaspar",LU,Eidgenössisches Finanzdepartement ,EFD,FDP
1998,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1998,102,"Couchepin, Pascal",VS,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1998,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1997,100,"Dreifuss, Ruth",GE,Eidgenössisches Departement des Innern ,EDI,SP
1997,096,"Cotti , Flavio",TI,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
1997,099,"Villiger, Kaspar",LU,Eidgenössisches Finanzdepartement ,EFD,FDP
1997,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1997,097,"Ogi , Adolf",BE,Eidgenössisches Militärdepartement,VBS,SVP
1997,101,"Leuenberger, Moritz",ZH,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SP
1997,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1996,100,"Dreifuss, Ruth",GE,Eidgenössisches Departement des Innern ,EDI,SP
1996,096,"Cotti , Flavio",TI,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
1996,099,"Villiger, Kaspar",LU,Eidgenössisches Finanzdepartement ,EFD,FDP
1996,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1996,097,"Ogi , Adolf",BE,Eidgenössisches Militärdepartement,VBS,SVP
1996,101,"Leuenberger, Moritz",ZH,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SP
1996,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1995,100,"Dreifuss, Ruth",GE,Eidgenössisches Departement des Innern ,EDI,SP
1995,096,"Cotti , Flavio",TI,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
1995,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1995,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1995,099,"Villiger, Kaspar",LU,Eidgenössisches Militärdepartement,VBS,FDP
1995,101,"Leuenberger, Moritz",ZH,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SP
1995,097,"Ogi , Adolf",BE,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1995,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1994,100,"Dreifuss, Ruth",GE,Eidgenössisches Departement des Innern ,EDI,SP
1994,096,"Cotti , Flavio",TI,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
1994,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1994,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1994,099,"Villiger, Kaspar",LU,Eidgenössisches Militärdepartement,VBS,FDP
1994,097,"Ogi , Adolf",BE,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1994,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1993,096,"Cotti , Flavio",TI,Eidgenössisches Departement des Innern ,EDI,CVP
1993,098,"Felber, René",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1993,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1993,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1993,099,"Villiger, Kaspar",LU,Eidgenössisches Militärdepartement,VBS,FDP
1993,097,"Ogi , Adolf",BE,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1993,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1992,096,"Cotti , Flavio",TI,Eidgenössisches Departement des Innern ,EDI,CVP
1992,098,"Felber, René",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1992,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
1992,095,"Koller, Arnold",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
1992,099,"Villiger, Kaspar",LU,Eidgenössisches Militärdepartement,VBS,FDP
1992,097,"Ogi , Adolf",BE,Eidgenössisches Verkehrs- und Energiewirtschaftsdepartement,UVEK,SVP
1992,093,"Delamuraz, Jean-Pascal",VD,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
1991,096,"Cotti , Flavio",TI,Eidgenössisches Departement des Innern ,EDI,CVP
1991,098,"Felber, René",NE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
1991,092,"Stich, Otto",SO,Eidgenössisches Finanzdepartement ,EFD,SP
