,Addresse,Lat,Lng,Name,Rating
112,"Rue Cité-Devant 6, 1005 Lausanne, Switzerland",46.52328,6.6353341,Il ghiotto,4.3
113,"Rue Beau-Séjour 27, 1003 Lausanne, Switzerland",46.5176127,6.6373072,Au Chat Noir,4.5
114,"Avenue d'Ouchy 40, 1006 Lausanne, Switzerland",46.5112785,6.6285235,La Brasserie du Royal,4.3
115,"Avenue d'Ouchy 43, 1006 Lausanne, Switzerland",46.5116824,6.6297102,La Croix d'Ouchy,4.6
116,"Route de Cojonnex 18, 1000 Lausanne, Switzerland",46.5607718,6.6828574,Le Berceau des Sens,4.7
117,"Rue du Valentin 23, 1004 Lausanne, Switzerland",46.5244407,6.6311805,Slice Pizza,4.6
118,"Avenue des Mousquines 1, 1005 Lausanne, Switzerland",46.5176705,6.6442824,Restaurant Tandem,4.6
119,"Place du Port 17-19, 1000 Lausanne 6, Switzerland",46.5077626,6.629459199999999,Anne-Sophie Pic au Beau-Rivage Palace,4.5
120,"Place Chauderon 16, 1003 Lausanne, Switzerland",46.5239892,6.6254959,Au canard pekinois,4.5
121,"Rue Dr César-Roux 5, 1005 Lausanne, Switzerland",46.5251589,6.6376237,Ristorante Amici,4.6
122,"Avenue de Tivoli 8, 1007 Lausanne, Switzerland",46.52133,6.6215857,Oniwa,4.5
123,"Rue Grand-Saint-Jean 5, 1003 Lausanne, Switzerland",46.5212425,6.631720899999999,Pz pizza,4.5
124,"Chemin de Couvaloup 13, 1005 Lausanne, Switzerland",46.5250375,6.6363108,Ulivo,4.4
125,"Rue Saint-Laurent 14, 1003 Lausanne, Switzerland",46.5224206,6.631455799999999,Inglewood Saint-Laurent,4.6
126,"Rue du Grand Chêne 7-9, 1003 Lausanne, Switzerland",46.51944,6.6308662,La Table d'Edgard,4.5
127,"Rue Centrale 23, 1003 Lausanne, Switzerland",46.5210717,6.6348867,Minuit Soleil,4.3
128,"Rue Cheneau-de-Bourg 3, 1003 Lausanne, Switzerland",46.5207809,6.636487199999999,La Grappe d'Or,4.6
129,"Rue de la Tour 17, 1003 Lausanne, Switzerland",46.5235183,6.628755399999999,Red Sea,4.7
130,"Rue du Simplon 7, 1006 Lausanne, Switzerland",46.5155776,6.6309089,Les Trois Rois,4.4
131,"Rue du Flon 8, 1003 Lausanne, Switzerland",46.5206226,6.635144100000001,Eligo Restaurant,4.5
