,Addresse,Lat,Lng,Name,Rating
937,"Bernstrasse 114, 3072 Ostermundigen, Switzerland",46.956931,7.495981999999999,Migros Restaurant,3.9
938,"Rütiweg 98A, 3072 Ostermundigen, Switzerland",46.9561723,7.506881000000001,Grill And Go,4.2
939,"Obere Zollgasse 40, 3072 Ostermundigen, Switzerland",46.95815,7.491275999999999,N'ice Cream Ice & Cafe und Take Away,4.5
941,"Mittelholzerstrasse 30, 3006 Bern, Switzerland",46.958951,7.477927999999999,Aloha Café,4.6
942,"Belpstrasse 34, 3007 Bern, Switzerland",46.9434276,7.431776500000001,Ristorante Ottimo,4.7
944,"Bielstrasse 3, 4500 Solothurn, Switzerland",47.20833409999999,7.533269000000001,Caffé Restaurant Safran,4.6
945,"Güterstrasse 2, 4552 Derendingen, Switzerland",47.202536,7.582184,"Srignags House, Indian Restaurant",4.5
948,"Bahnhofstrasse 6, 2540 Grenchen, Switzerland",47.191723,7.3957596,Grenchner Hof,4.3
949,"Allerheiligenstrasse 218, 2540 Grenchen, Switzerland",47.19622769999999,7.369320699999999,Chappeli,4.5
950,"Lindenstrasse 41, 2540 Grenchen, Switzerland",47.1911317,7.3905165,Restaurant Parktheater,4.3
952,"Untergrenchenberg, 2540 Grenchen, Switzerland",47.221266,7.380476,Restaurant Untergrenchenberg,4.2
953,"Bettlachstrasse 36, 2540 Grenchen, Switzerland",47.1933185,7.398537,China-Restaurant Man Fu,4.2
954,"Kirchstrasse 50, 2540 Grenchen, Switzerland",47.1944893,7.393548300000001,Restaurant Sapori Antichi Mazzini,4.1
955,"Girardstrasse 19, 2540 Grenchen, Switzerland",47.1912965,7.3993943,La Trattoria am Girardplatz,4.0
956,"Centralstrasse 2, 2540 Grenchen, Switzerland",47.1927754,7.3959642,Baracoa Restaurant & Bar,4.2
957,"Solothurnstrasse 139, 2540 Grenchen, Switzerland",47.1945858,7.408180199999999,Spaghetteria Pizzeria Pomodoro,4.3
958,"Lindenstrasse, 2540 Grenchen, Switzerland",47.19104189999999,7.3907839,Parktheater Grenchen,3.8
959,"Marktpl. 22, 2540 Grenchen, Switzerland",47.1939854,7.3964978,Station 1,4.7
960,"Schmelzistrasse 31, 2540 Grenchen, Switzerland",47.2000829,7.3888878,Restaurant Feldschlösschen,4.2
961,"Obergrenchenberg, 2540 Grenchen, Switzerland",47.232339,7.397106,Restaurant Obergrenchenberg,4.3
962,"Marktpl. 7, 2540 Grenchen, Switzerland",47.19355299999999,7.396313999999999,Hotel Restaurant Passage,3.9
963,"Centralstrasse 52, 2540 Grenchen, Switzerland",47.1952513,7.3955427,Naifan 2 Thai Restaurant und Take Away,4.2
964,"Solothurnstrasse 4, 2543 Lengnau, Switzerland",47.182527,7.366475800000001,Naifan Thai-Restaurant Take Away,4.5
965,"Leimenstrasse 2, 2540 Grenchen, Switzerland",47.19295899999999,7.401184000000001,McDonald’s,3.5
966,"Bettlachstrasse 8, 2540 Grenchen, Switzerland",47.19267,7.3969,Centro-Lounge,4.3
