Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
2107,"Chemin de Renens 56, 1004 Lausanne, Switzerland",46.528395,6.604335000000002,Brasserie de Malley,3.9,POINT (6.604335000000002 46.528395),POINT (6.604335000000002 46.528395)
2109,"Avenue de la Gare 49, 1957 Ardon, Switzerland",46.2088172,7.270533500000001,Restaurant asiatique bonbon,4.2,POINT (7.270533500000001 46.2088172),POINT (7.270533500000001 46.2088172)
2111,"Avenue de Florissant 28, 1020 Renens, Switzerland",46.532765399999995,6.5982745,Le Florissant,3.9,POINT (6.5982745 46.5327654),POINT (6.5982745 46.5327654)
2114,"Bahnhofstrasse 2, 3780 Gstaad, Switzerland",46.47524740000001,7.2847431999999985,Bernerhof,4.2,POINT (7.284743199999999 46.47524740000001),POINT (7.284743199999999 46.47524740000001)
2118,"Avenue du Chablais 28, 1007 Lausanne, Switzerland",46.524393100000005,6.6020299,Brasserie des Abattoirs,3.6,POINT (6.6020299 46.5243931),POINT (6.6020299 46.5243931)
2119,"Rue de Lausanne 38/40, 1700 Fribourg, Switzerland",46.8054994,7.1587826,Ristorante Bindella Fribourg,4.3,POINT (7.1587826 46.8054994),POINT (7.1587826 46.8054994)
2120,"Rue de Lausanne 49h, 1020 Renens, Switzerland",46.5340861,6.5905730999999985,Brasserie La Croisée,4.4,POINT (6.590573099999999 46.5340861),POINT (6.590573099999999 46.5340861)
2125,"91, Rue de Lausanne, 1700 Fribourg, Switzerland",46.8053313,7.1564852,Luigia,4.0,POINT (7.1564852 46.8053313),POINT (7.1564852 46.8053313)
2126,"Amriswilerstrasse 50, 8570 Weinfelden, Switzerland",47.56665170000001,9.1166231,Toni's Ristorante Pizzeria,4.4,POINT (9.1166231 47.56665170000001),POINT (9.1166231 47.56665170000001)
2130,"Friedensstraße 2-6 Zentrum Herrnau, 1. Stock Galerie, 5020, Austria",47.7865706,13.065641099999999,La Cantinetta,4.3,POINT (13.0656411 47.7865706),POINT (13.0656411 47.7865706)
2139,"Chemin du Viaduc 1, 1008 Prilly, Switzerland",46.52738170000001,6.602092900000001,Passaggio freeflow Restaurant Spizzico,4.5,POINT (6.602092900000001 46.52738170000001),POINT (6.602092900000001 46.52738170000001)
2140,"Route François-Peyrot 34, 1218 Le Grand-Saconnex, Switzerland",46.236481,6.119555999999998,Restaurant L'olivo,3.7,POINT (6.119555999999998 46.236481),POINT (6.119555999999998 46.236481)
2141,"Rue Sonnex 17BIS, 1218 Le Grand-Saconnex, Switzerland",46.2283343,6.1201767999999985,Chez Nina,4.4,POINT (6.120176799999999 46.2283343),POINT (6.120176799999999 46.2283343)
2144,"Rue Sonnex 13, 1218 Le Grand-Saconnex, Switzerland",46.22880429999999,6.1206882999999985,Restaurant Le Pommier,4.3,POINT (6.120688299999999 46.22880429999999),POINT (6.120688299999999 46.22880429999999)
2146,"Route de Ferney 175, 1218 Le Grand-Saconnex, Switzerland",46.234139,6.123368,Restaurant Auberge du Grand-Saconnex,3.7,POINT (6.123368 46.234139),POINT (6.123368 46.234139)
2147,"Chemin de la Tourelle 2, 1209 Genève, Switzerland",46.224354,6.1260416,Luigia,4.3,POINT (6.1260416 46.224354),POINT (6.1260416 46.224354)
2148,"Chemin Edouard-Sarasin 26, 1218 Le Grand-Saconnex, Switzerland",46.2309528,6.118674299999999,Restaurant Le Grizzly Sàrl,4.3,POINT (6.118674299999999 46.2309528),POINT (6.118674299999999 46.2309528)
2150,"Werkstrasse 2, 8630 Rüti, Switzerland",47.258483,8.851018999999997,Amici miei,4.6,POINT (8.851018999999997 47.258483),POINT (8.851018999999997 47.258483)
2151,"Via dei Piatti, 4, 20123 Milano MI, Italy",45.4608261,9.185102699999998,Restaurant Rossini,4.5,POINT (9.185102699999998 45.4608261),POINT (9.185102699999998 45.4608261)
2155,"Via Giuseppe Garibaldi, 309, 95029 Viagrande CT, Italy",37.6129196,15.0989676,Ristorante Piccolo Mondo,3.9,POINT (15.0989676 37.6129196),POINT (15.0989676 37.6129196)
2156,"Dorfstrasse 25, 8630 Rüti, Switzerland",47.26011279999999,8.8512164,"Pizzakurier Pronto, D'Agostino Nicola",4.7,POINT (8.8512164 47.26011279999999),POINT (8.8512164 47.26011279999999)
2157,"Seglias 3, 7522 La Punt-Chamues-ch, Switzerland",46.573195,9.929676,Ristorante Pugliese Müsella,4.6,POINT (9.929676000000001 46.573195),POINT (9.929676000000001 46.573195)
2159,"Werkstrasse 49, 8630 Rüti, Switzerland",47.252240500000006,8.853478899999997,Pizzeria Portofino,4.5,POINT (8.853478899999997 47.25224050000001),POINT (8.853478899999997 47.25224050000001)
2169,"Schwertrainstrasse 4, 4142 Münchenstein, Switzerland",47.5320749,7.6120695000000005,Restaurant La Grotta Bandel,5.0,POINT (7.6120695 47.5320749),POINT (7.6120695 47.5320749)
2182,"Kirchgasse 4, 4144 Arlesheim, Switzerland",47.492111200000004,7.621539899999998,Domstübli,4.1,POINT (7.621539899999998 47.4921112),POINT (7.621539899999998 47.4921112)
2193,"Baselstrasse 60, 4142 Münchenstein, Switzerland",47.522729999999996,7.617225599999998,Pizzeria-Restaurant Bonanza,4.2,POINT (7.617225599999998 47.52273),POINT (7.617225599999998 47.52273)
2196,"Aliothstrasse 3, 4142 Münchenstein, Switzerland",47.5124237,7.616564399999999,Pizzeria Schützen,4.5,POINT (7.616564399999999 47.5124237),POINT (7.616564399999999 47.5124237)
2197,"Lehenmattstrasse 260, 4052 Basel, Switzerland",47.5472247,7.620853200000001,Fresco Pizza Kurier,3.1,POINT (7.620853200000001 47.5472247),POINT (7.620853200000001 47.5472247)
