Restaurantname;Kanton
Hotel Restaurant Hirschen;UR
Joe Epp, Restaurant Hirschen;UR
Kreuz;UR
Restaurant Linde;UR
Zum Schwarzen Lowen;UR
Drei Könige und Post;UR
Restaurant Alten Post M.Pajkovic;UR
Restaurant Alte Post;UR
Restaurant Alte Post;UR
Hotel Stern & Post;UR
Restaurant Posthaus;UR
Postillion;UR
Restaurant Rössli;UR
Rössli- Haus der Gäst;UR
Hotel Sonne;UR
Gasthaus Sonne;UR
Hotel Restaurant Sternen;UR
Hostellerie Sternen;UR
Sternen;UR
zum Sternen;UR
Hotel Stern & Post;UR
Crêperie L'Ange Bleu;VD
Pizza des Anges Sàrl;VD
Angel's Bar;VD
Hôtel-restaurant du Cerf;VD
C Le Cerf SA;VD
Brasserie du Cerf;VD
du Cerf-d'Or;VD
Cornes de Cerf;VD
du Cerf;VD
le Cerf;VD
Gîte Le Mont des Cerfs;VD
Auberge Communale de La Chaux;VD
La Boille aux Chaux;VD
Auberge du Cheval-Blanc;VD
Auberge du Cheval-Blanc;VD
Au Cheval Blanc;VD
Cheval Blanc;VD
Auberge du Cheval Blanc;VD
Auberge du Cheval Blanc;VD
Cheval-Blanc;VD
du Cheval Blanc;VD
du Cheval-Blanc;VD
Café restaurant de la Croix-Fédérale;VD
Restaurant la Croix-Blanche;VD
La Croix-Verte;VD
La Croix d'Ouchy;VD
Auberge de la croix d'or;VD
Hotel Restaurant de la Croix Verte;VD
La croix Blanche;VD
La Croix Fédérale;VD
Auberge de la Croix Blanche;VD
Restaurant-Pizzeria de la Croix;VD
Café Restaurant de l'Etoile;VD
Café Restaurant de l'Etoile;VD
Restaurant l'Etoile;VD
de l'Etoile;VD
Café de l'Etoile;VD
L'étoile blanche;VD
Auberge de l'Etoile;VD
de l'Etoile;VD
l'Etoile;VD
Auberge de l'Etoile;VD
Auberge du Lion-d'Or;VD
Auberge Au Lion d' Or;VD
Auberge Communale le Lion D' Or;VD
Au lion d'or;VD
du Lion d'Or;VD
Lion D'Or;VD
Lion d'Or;VD
Lion d'Or;VD
Restaurant de l'Ours;VD
Restaurant de l'Ours Sàrl;VD
Brasserie de l'Ours;VD
Hôtel de l'Ours;VD
SV (Schweiz) AG Restaurant La Poste Daylis;
Hôtel Restaurant de la Poste;
Café Restaurant de la Poste;
Restaurant de la poste;
Café Restaurant de la poste;
de la Poste;
de la Poste;
Auberge de la Poste;
Auberge de la Poste;
de la Poste;
Restaurant du Soleil;VD
du Soleil;VD
Restaurant du Soleil;VD
Auberge du Soleil;VD
Auberge du Soleil;VD
Boulangerie du Soleil;VD
Minuit Soleil;VD
Le Soleil;VD
du Soleil;VD
Le Caveau la part des Anges;VS
le Cerf;VS
Fer à Cheval;VS
Cheval-Blanc;VS
Restaurant de la La Croix de Coeur;VS
Auberge de la Croix Blanche;VS
Croix-de-Culet;VS
Hotel Croix d'Or et Poste;VS
La Croix Fédérale;VS
Croix-de-Coeur;VS
Restaurant de l'Etoile;VS
Restaurant L'Auberge de l'étoile;VS
Etoile;VS
Motel Restaurant 13 Etoiles;VS
Restaurant 13 Etoiles;VS
Brasserie des Etoiles;VS
Kreuzboden;VS
Restaurant Lion d'Or;VS
Lion d'Or;VS
Café Restaurant Quai de l'Ours;VS
Auberge de l'Ours;VS
Hostellerie Pas-de-l'Ours;VS
Pas-de-l'Ours;VS
La broche des ours;VS
Unique Hotel Post Zermatt;VS
Post;VS
Post;VS
Post Office Cafe;VS
Restaurant de la Poste;VS
Restaurant de la Poste;VS
la Poste;VS
Hôtel de la Poste;VS
Pizzeria de la Poste;VS
Auberge de la Poste;VS
Hôtel du Soleil;VS
Auberge de la Grange au Soleil;VS
BEAU SOLEIL;VS
Beau-Soleil;VS
du Soleil;VS
Le Soleil de Dugny;VS
Portes du Soleil;VS
Soleil;VS
Télé Champéry-Crosets Portes du Soleil SA (TCCPS);VS
Centre Soleil;VS
Restaurant zur Sonne;VS
Sonne;VS
Sonne;VS
Restaurant Sonnenhalde;VS
Sonnmatten;VS
Restaurant Sternen;VS
Bären;ZG
Bären;ZG
Bären;ZG
Restaurant Engel;ZG
Restaurant Engel;ZG
Restaurant Hirschen;ZG
Hirschen;ZG
Restaurant Kreuzegg;ZG
Restaurant zur Linde;ZG
Gasthaus zur Linde;ZG
Lindenhof;ZG
Ristorante Pizzeria Lindenhof Da Rocco;ZG
Hotel Löwen am See;ZG
Brasserie Löwen am See;ZG
Gasthof Löwen;ZG
Löwen;ZG
Löwen kochen für Freunde;ZG
Löwen;ZG
Bar Zur alten Post;ZG
Pizzeria Pöstli;ZG
Restaurant Rössli;ZG
Restaurant Rössli;ZG
Rössli, Restaurant und Bar;ZG
Gasthof Rössli;ZG
zum Rössli;ZG
Rössli;ZG
Sonne;ZG
Alpwirtschaft Sonnegg;ZG
Restaurant Bären GmbH;ZH
Restaurant Bären;ZH
Gasthof Zum Bären;ZH
Gasthof zum Bären;ZH
Bären;ZH
Bären;ZH
Bärengasse Restaurant;ZH
Hotel Engel;ZH
Hotel Gasthaus zum Engel;ZH
Gasthaus zum Engel;ZH
Engelgarten;ZH
Restaurant Hirschen;ZH
Restaurant Hirschen;ZH
Restaurant Hirschen;ZH
Restaurant Hirschen zur Tessinerstube;ZH
Restaurant Smokin'Mad by Gasthof Hirschen;ZH
Hirschen am See;ZH
Gasthof zum Hirschen;ZH
Gasthof Hirschen AG;ZH
Gasthof Hirschen;ZH
Alten Hirschen;ZH
Restaurant Kreuz;ZH
Restaurant Kreuz;ZH
Zum weissen Kreuz;ZH
Restaurant Taverne zum Kreuz;ZH
Restaurant Taverne zum Kreuz;ZH
Gasthof zum Kreuz;ZH
Weisses Kreuz;ZH
Gasthof zum goldenen Kreuz;ZH
Kreuz;ZH
Restaurant Kreuzstrasse;ZH
Restaurant Linde;ZH
Restaurant Linde;ZH
Restaurant und Pizzaria Linde;ZH
LINDE OBERSTRASS;ZH
zur Linde;ZH
Linde Weiningen;ZH
Linde;ZH
Zur Linde;ZH
Linde Bakery & Bistro;ZH
Linde;ZH
Gasthof Loewen;ZH
HOTEL RESTAURANT LÖWEN;ZH
Restaurant Löwen;ZH
Restaurant Löwen Andelfingen GmbH;ZH
Restaurant Löwen;ZH
Restaurant Löwen 'u Pabu';ZH
Restaurant Löwen;ZH
Pizzeria Restaurant Löwen;ZH
Restaurant Lowen;ZH
Restaurant Löwen;ZH
Restaurant Post;ZH
Restaurant Post;ZH
Restaurant Post;ZH
Restaurant Post;ZH
Restaurant Post;ZH
Genossenschaft Restaurant Post Rifferswil;ZH
Restaurant zur Post;ZH
Bistro Post da Fabio;ZH
Alte Post;ZH
Post Restaurant daylis;ZH
Restaurant Rössli;ZH
Hotel Restaurant Rössli;ZH
Restaurant Rössli;ZH
Restaurant Rössli;ZH
Restaurant Rössli;ZH
Restaurant Rössli;ZH
Restaurant Weisses Rössli;ZH
Rössli;ZH
Rössli zur Vogtei;ZH
Rössli Beiz Stäfa;ZH
Restaurant Sonne;ZH
Restaurant Sonne;ZH
Restaurant Sonne;ZH
Restaurant Sonne Libanon;ZH
Restaurant Sonne;ZH
Restaurant Sonne;ZH
Restaurant Alte Sonne;ZH
Restaurant zur Sonne AG Winterthur;ZH
Restaurant Hotel Sonne;ZH
Restaurant Pizzeria Sonne;ZH
Hotel Restaurant Sternen;ZH
Restaurant Sternen;ZH
Restaurant Sternen;ZH
Restaurant Sternen;ZH
Restaurant zum Sternen;ZH
Restaurant Gasthaus Sternen;ZH
Sternen Grill + Sternen Grill Restaurant im oberen Stock;ZH
Restaurant Pizzeria Sternen;ZH
STERNEN RESTAURANT & BAR;ZH
Sternen Oerlikon;ZH
