Id,Label,Date,Image,followers_count,friends_count
2927827333,FC_Basel_tr,Fri Dec 12 20:29:57 +0000 2014,https://pbs.twimg.com/profile_images/1062977932967190528/0ypmBXce_normal.jpg,604,52
2956936937,Irem_Lochmann,Fri Jan 02 17:16:32 +0000 2015,https://pbs.twimg.com/profile_images/946760993564188672/luomo1qA_normal.jpg,372,232
301413295,IreneTroxler,Thu May 19 12:40:02 +0000 2011,https://pbs.twimg.com/profile_images/940623892355469312/hyPVlrN9_normal.jpg,578,190
3023480746,LB20101960,Sat Feb 07 16:53:48 +0000 2015,https://pbs.twimg.com/profile_images/1067885335991017472/VS0JQ5Zw_normal.jpg,408,571
3096451480,TomEhrenberger,Thu Mar 19 09:55:06 +0000 2015,https://pbs.twimg.com/profile_images/578495467442413568/wk0V2jyY_normal.png,2395,4095
3123623474,MoT_Masterclass,Wed Apr 01 09:17:40 +0000 2015,https://pbs.twimg.com/profile_images/883355697739698176/KiRabACk_normal.jpg,1503,929
3135113487,jdstrub,Sat Apr 04 21:18:46 +0000 2015,https://pbs.twimg.com/profile_images/638256223339577344/OGxZjVaZ_normal.jpg,402,509
3289108752,sandralove_girl,Thu Jul 23 20:31:51 +0000 2015,https://pbs.twimg.com/profile_images/957177293700558848/eH2Ueifg_normal.jpg,3058,420
329556541,dbFCZ,Tue Jul 05 08:22:41 +0000 2011,https://pbs.twimg.com/profile_images/3151650165/335695cc8de2558ed8c880e311cc1ca9_normal.png,711,75
33047609,fc_zuerich,Sat Apr 18 23:18:10 +0000 2009,https://pbs.twimg.com/profile_images/895529549076758528/_0uLqv4X_normal.jpg,20138,105
3314634431,GLOCKENHOF_ZH,Tue Jun 09 07:55:14 +0000 2015,https://pbs.twimg.com/profile_images/608184700549611521/ulcsUT5O_normal.jpg,20978,21294
3363869463,JuliaJaywalker,Tue Jul 07 09:57:57 +0000 2015,https://pbs.twimg.com/profile_images/1048673738034753536/IFgeDDb8_normal.jpg,3052,331
3395777655,0231Jana,Thu Jul 30 17:23:33 +0000 2015,https://pbs.twimg.com/profile_images/1070621307677622272/RMeV9DEP_normal.jpg,3705,1564
3407698420,riccioale19,Fri Aug 07 19:32:58 +0000 2015,https://pbs.twimg.com/profile_images/1033342430517649411/Wb87loy0_normal.jpg,1512,4989
3414086001,elkepoley,Tue Aug 11 02:36:23 +0000 2015,https://pbs.twimg.com/profile_images/947821294141214720/JonAvjJ1_normal.jpg,1345,5002
342631350,Andre__Mueller,Tue Jul 26 10:05:17 +0000 2011,https://pbs.twimg.com/profile_images/922585905545785344/i7KcXjwo_normal.jpg,639,632
351496811,__Mari06,Tue Aug 09 09:59:15 +0000 2011,https://pbs.twimg.com/profile_images/571417525489913856/cU1KVgr4_normal.jpeg,1699,1717
364384953,kuppp005,Mon Aug 29 17:45:24 +0000 2011,https://pbs.twimg.com/profile_images/1702705110/377977_2363753006652_1035177628_32154546_1130709973_n_normal.jpg,4406,4836
366175274,Rossaliena,Thu Sep 01 18:13:13 +0000 2011,https://pbs.twimg.com/profile_images/839619041794932738/NfP3oRHY_normal.jpg,2267,2092
