GROUP,ORDER,FAMILY,GENUS,SPECIES SSP,Scientific name,Deutscher Name,CAT,Criteria,Bemerkungen
4 familles de coléoptères,Coleoptera,Cerambycidae,Stictoleptura,rubra,"Stictoleptura rubra (Linnaeus, 1758)",Roter Halsbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stictoleptura,scutellata,"Stictoleptura scutellata (Fabricius, 1781)",Haarschildiger Halsbock,EN,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cerambycidae,Stictoleptura,simplonica,"Stictoleptura simplonica (Fairmaire, 1885)",,DD,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Strangalia,attenuata,"Strangalia attenuata (Linnaeus, 1758)","Grubenhörniger Halsbock, Schmaler Halsbock",VU,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cerambycidae,Tetropium,castaneum,"Tetropium castaneum (Linnaeus, 1758)",Gemeiner Fichtensplintbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Tetropium,fuscum,"Tetropium fuscum (Fabricius, 1787)",Brauner Fichtensplintbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Tetropium,gabrieli,"Tetropium gabrieli Weise, 1905",Lärchensplintbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Tetrops,praeustus,"Tetrops praeustus (Linnaeus, 1758)",Kleiner Pflaumenbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Tetrops,starkii,"Tetrops starkii Chevrolat, 1859",Starks Pflaumenbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Tragosoma,depsarium,"Tragosoma depsarium (Linnaeus, 1767)",Zottenbock,EN,"B2ab(i,ii,iii,iv)",Urwaldrelikt
4 familles de coléoptères,Coleoptera,Cerambycidae,Trichoferus,holosericeus,"Trichoferus holosericeus (Rossi, 1790)",,CR,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cerambycidae,Xylotrechus,antilope,"Xylotrechus antilope (Schoenherr, 1817)","Zierlicher Holzwespenbock, Zierlicher Widderbock",NT,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Xylotrechus,arvicola,"Xylotrechus arvicola (Olivier, 1795)","Sauerkirschen-Holzwespenbock, Sauerkirschen-Widderbock",CR,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cetoniidae,Cetonia,aurata,"Cetonia aurata (Linnaeus, 1761)","Goldglänzende Rosenkäfer, Gemeine Rosenkäfer",LC,,
4 familles de coléoptères,Coleoptera,Cetoniidae,Gnorimus,nobilis,"Gnorimus nobilis (Linnaeus, 1758)",Grüner Edelscharrkäfer,NT,,
4 familles de coléoptères,Coleoptera,Cetoniidae,Gnorimus,variabilis,"Gnorimus variabilis (Linnaeus, 1758)","Veränderliche Edelscharrkäfer, Schwarzer Edelkäfer",EN,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cetoniidae,Osmoderma,eremita,"Osmoderma eremita (Scopoli, 1763)","Eremit, Juchtenkäfer",CR,"B2ab(i,ii,iii,iv)",Urwaldrelikt
4 familles de coléoptères,Coleoptera,Cetoniidae,Oxythyrea,funesta,"Oxythyrea funesta (Poda von Neuhaus, 1761)",Trauer-Rosenkäfer,NT,,
4 familles de coléoptères,Coleoptera,Cetoniidae,Protaetia,aeruginosa,"Protaetia aeruginosa (Drury, 1770)","Große Rosenkäfer, Großer Goldkäfer",EN,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cetoniidae,Protaetia,affinis,"Protaetia affinis (Andersch, 1797)",Ähnliche Rosenkäfer,EN,"B2ab(i,ii,iii,iv)","Urwaldrelikt, nur in den Südalpen (Tessin, Graubünden)"
4 familles de coléoptères,Coleoptera,Cetoniidae,Protaetia,angustata,"Protaetia angustata (Germar, 1817)",,CR,"B2ab(i,ii,iii,iv)",Nur in den Südalpen (Tessin)
4 familles de coléoptères,Coleoptera,Cetoniidae,Protaetia,cuprea,"Protaetia cuprea (Fabricius, 1775)",,LC,,
4 familles de coléoptères,Coleoptera,Cetoniidae,Protaetia,fieberi,"Protaetia fieberi (Kraatz, 1880)",,CR,"B2ab(i,ii,iii,iv)",Letzter Schweizer Nachweis 1997
4 familles de coléoptères,Coleoptera,Cetoniidae,Protaetia,marmorata,"Protaetia marmorata (Fabricius, 1792)","Bronzegrüne Rosenkäfer, Marmorierter Rosenkäfer",VU,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cetoniidae,Protaetia,metallica,"Protaetia metallica (Herbst, 1782)",,LC,,
4 familles de coléoptères,Coleoptera,Cetoniidae,Protaetia,morio,"Protaetia morio (Fabricius, 1781)",,EN,"B2ab(i,ii,iii,iv)","Nur in den Südalpen (Tessin, Graubünden)"
4 familles de coléoptères,Coleoptera,Cetoniidae,Trichius,fasciatus,"Trichius fasciatus (Linnaeus, 1758)",Gebänderte Pinselkäfer,LC,,
4 familles de coléoptères,Coleoptera,Cetoniidae,Trichius,gallicus,"Trichius gallicus Dejean, 1821",,EN,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cetoniidae,Trichius,sexualis,"Trichius sexualis Bedel, 1906",,EN,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cetoniidae,Tropinota,hirta,"Tropinota hirta (Poda von Neuhaus, 1761)",,NT,,
4 familles de coléoptères,Coleoptera,Cetoniidae,Valgus,hemipterus,"Valgus hemipterus (Linnaeus, 1758)",,LC,,
4 familles de coléoptères,Coleoptera,Lucanidae,Aesalus,scarabaeoides,"Aesalus scarabaeoides (Panzer, 1794)",Kurzschröter,DD,,
4 familles de coléoptères,Coleoptera,Lucanidae,Ceruchus,chrysomelinus,"Ceruchus chrysomelinus (Hochenwart, 1785)",Rindenschröter,EN,"B2ab(i,ii)",Urwaldrelikt
4 familles de coléoptères,Coleoptera,Lucanidae,Dorcus,parallelipipedus,"Dorcus parallelipipedus (Linnaeus, 1758)",Balkenschröter,LC,,
4 familles de coléoptères,Coleoptera,Lucanidae,Lucanus,cervus,"Lucanus cervus (Linnaeus, 1758)",Hirschkäfer,VU,B2b(iii),Langer Lebenszyklus
4 familles de coléoptères,Coleoptera,Lucanidae,Platycerus,caprea,"Platycerus caprea (De Geer, 1774)",Grosser Rehschröter,LC,,
4 familles de coléoptères,Coleoptera,Lucanidae,Platycerus,caraboides,"Platycerus caraboides (Linnaeus, 1758)",Kleiner Rehschröter,LC,,
4 familles de coléoptères,Coleoptera,Lucanidae,Sinodendron,cylindricum,"Sinodendron cylindricum (Linnaeus, 1758)",Kopfhornschröter,NT,,
