,family,dt name,sc name,cat,bemerkungen,einteilung,untergruppe
119,Drosselvögel (Turdidae),Blaumerle,Monticola solitarius (L.),EN,,Vögel,Vögel2
120,Drosselvögel (Turdidae),Ringdrossel,Turdus torquatus L.,VU,,Vögel,Vögel2
121,Drosselvögel (Turdidae),Amsel,Turdus merula L.,LC,,Vögel,Vögel2
122,Drosselvögel (Turdidae),Wacholderdrossel,Turdus pilaris L.,VU,,Vögel,Vögel2
123,Drosselvögel (Turdidae),Singdrossel,Turdus philomelos Brehm,LC,,Vögel,Vögel2
124,Drosselvögel (Turdidae),Misteldrossel,Turdus viscivorus L.,LC,,Vögel,Vögel2
125,Zweigsänger (Sylviidae),Seidensänger*,Cettia cetti (Temm.),VU,,Vögel,Vögel2
126,Zweigsänger (Sylviidae),Feldschwirl,Locustella naevia (Bodd.),NT,,Vögel,Vögel2
127,Zweigsänger (Sylviidae),Rohrschwirl,Locustella luscinioides (Savi),NT,,Vögel,Vögel2
128,Zweigsänger (Sylviidae),Mariskensänger*,Acrocephalus melanopogon (Temm.),VU,,Vögel,Vögel2
129,Zweigsänger (Sylviidae),Teichrohrsänger,Acrocephalus scirpaceus (Herm.),LC,,Vögel,Vögel2
130,Zweigsänger (Sylviidae),Sumpfrohrsänger,Acrocephalus palustris (Bechst.),LC,,Vögel,Vögel2
131,Zweigsänger (Sylviidae),Drosselrohrsänger,Acrocephalus arundinaceus (L.),NT,,Vögel,Vögel2
132,Zweigsänger (Sylviidae),Gelbspötter,Hippolais icterina (Vieill.),VU,,Vögel,Vögel2
133,Zweigsänger (Sylviidae),Orpheusspötter,Hippolais polyglotta (Vieill.),NT,,Vögel,Vögel2
134,Zweigsänger (Sylviidae),Mönchsgrasmücke,Sylvia atricapilla (L.),LC,,Vögel,Vögel2
135,Zweigsänger (Sylviidae),Gartengrasmücke,Sylvia borin (Bodd.),NT,,Vögel,Vögel2
136,Zweigsänger (Sylviidae),Sperbergrasmücke*,Sylvia nisoria (Bechst.),VU,,Vögel,Vögel2
137,Zweigsänger (Sylviidae),Klappergrasmücke,Sylvia curruca (L.),LC,,Vögel,Vögel2
