,FAMILY,sc name,dt name,cat,bemerkungen,einteilung,Untergruppe
59,Landschnecken,,Schlanke Bernsteinschnecke,NT,Ufer und Feuchtgebiete,Weichtiere,"Schnecken,Muscheln"
60,Landschnecken,,Südalpen-Pagodenschnecke,EN,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
61,Landschnecken,,Einzähnige Haarschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
62,Landschnecken,,Grosse Glasschnecke,EN,Wälder,Weichtiere,"Schnecken,Muscheln"
63,Landschnecken,,Schöne Landdeckelschnecke,VU,"Säume, Wälder",Weichtiere,"Schnecken,Muscheln"
64,Landschnecken,,Alpen-Puppenschnecke,EN,"Wiesen und Weiden, Ufer und Feuchtgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
65,Landschnecken,,Zweizähnige Puppenschnecke,CR,"Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
66,Landschnecken,,Gestreifte Puppenschnecke,NT,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
67,Landschnecken,,Dreizähnige Puppenschnecke,NT,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
68,Landschnecken,Retinella hiulca ,Südalpen-Wachsschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
69,Landschnecken,Ruthenica filograna,Zierliche Schliessmundschnecke,EN,Wälder,Weichtiere,"Schnecken,Muscheln"
70,Landschnecken,Semilimax kotulae,Berg-Glasschnecke,VU,Wälder,Weichtiere,"Schnecken,Muscheln"
71,Landschnecken,Semilimax semilimax,Weitmündige Glasschnecke,EN,Wälder,Weichtiere,"Schnecken,Muscheln"
72,Landschnecken,Solatopupa similis,Bläuliche Kornschnecke,CR,"Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
73,Landschnecken,Sphyradium doliolum,Kleine Fässchenschnecke,VU,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
74,Landschnecken,Tandonia nigra,Generoso-Kielschnegel,CR,Wälder,Weichtiere,"Schnecken,Muscheln"
75,Landschnecken,Tandonia rustica,Grosser Kielschnegel,NT,"Wälder, Siedlungsgebiete, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
76,Landschnecken,Trochulus biconicus,Nidwaldner Haarschnecke,VU,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
77,Landschnecken,Trochulus caelatus,Flache Haarschnecke,VU,Felsen und Steinschutt,Weichtiere,"Schnecken,Muscheln"
78,Landschnecken,Trochulus hispidus ,Gemeine Haarschnecke,NT,"Wälder, Wiesen und Weiden, Felsen und Steinschutt, Säume",Weichtiere,"Schnecken,Muscheln"
79,Landschnecken,Trochulus montanus,Berghaarschnecke,NT,"Wälder, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
80,Landschnecken,Trochulus striolatus,Gestreifte Haarschnecke,NT,Wälder,Weichtiere,"Schnecken,Muscheln"
81,Landschnecken,Truncatellina callicratis,Südliche Zylinderwindelschnecke,NT,"Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
82,Landschnecken,Truncatellina claustralis,Kleine Zylinderwindelschnecke,EN,Wiesen und Weiden,Weichtiere,"Schnecken,Muscheln"
83,Landschnecken,Truncatellina monodon,Rotbraune Zylinderwindelschnecke,VU,"Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
84,Landschnecken,Vallonia declivis,Grosse Grasschnecke,CR,Wiesen und Weiden,Weichtiere,"Schnecken,Muscheln"
85,Landschnecken,Vallonia enniensis,Feingerippte Grasschnecke,EN,"Wiesen und Weiden, Ufer und Feuchtgebiete",Weichtiere,"Schnecken,Muscheln"
86,Landschnecken,Vertigo alpestris,Alpen-Windelschnecke,NT,"Wälder, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
87,Landschnecken,Vertigo angustior,Schmale Windelschnecke,EN,"Wälder, Ufer und Feuchtgebiete",Weichtiere,"Schnecken,Muscheln"
88,Landschnecken,Vertigo antivertigo,Sumpf-Windelschnecke,VU,Ufer und Feuchtgebiete,Weichtiere,"Schnecken,Muscheln"
89,Landschnecken,Vertigo genesii,Blanke Windelschnecke,EN,Ufer und Feuchtgebiete,Weichtiere,"Schnecken,Muscheln"
90,Landschnecken,Vertigo geyeri,Vierzähnige Windelschnecke,CR,"Wälder, Ufer und Feuchtgebiete",Weichtiere,"Schnecken,Muscheln"
91,Landschnecken,Vertigo modesta,Arktische Windelschnecke,CR,Ufer und Feuchtgebiete,Weichtiere,"Schnecken,Muscheln"
92,Landschnecken,Vertigo moulinsiana,Bauchige Windelschnecke,EN,Ufer und Feuchtgebiete,Weichtiere,"Schnecken,Muscheln"
93,Landschnecken,Vertigo pusilla,Linksgewundene Windelschnecke,NT,"Wälder, Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt",Weichtiere,"Schnecken,Muscheln"
94,Landschnecken,Vertigo substriata,Gestreifte Windelschnecke,VU,"Wälder, Ufer und Feuchtgebiete",Weichtiere,"Schnecken,Muscheln"
95,Landschnecken,Xerocrassa geyeri,Zwergheideschnecke,CR,Wiesen und Weiden,Weichtiere,"Schnecken,Muscheln"
96,Landschnecken,Xerolenta obvia,Weisse Heideschnecke,NT,"Siedlungsgebiete, Wiesen und Weiden",Weichtiere,"Schnecken,Muscheln"
97,Landschnecken,Zebrina detrita,Weisse Turmschnecke,VU,Wiesen und Weiden,Weichtiere,"Schnecken,Muscheln"
98,Landschnecken,Zonitoides nitidus,Glänzende Dolchschnecke,NT,"Wälder, Ufer und Feuchtgebiete",Weichtiere,"Schnecken,Muscheln"
99,Landschnecken,Zoogenetes harpa,Harfenschnecke,EN,"Säume, Wälder",Weichtiere,"Schnecken,Muscheln"
100,Wasserschnecken,Anisus spirorbis,Gelippte Tellerschnecke,EN,Moore,Weichtiere,"Schnecken,Muscheln"
101,Wasserschnecken,Anisus vortex,Scharfe Tellerschnecke,VU,Stehgewässer und Moore,Weichtiere,"Schnecken,Muscheln"
102,Wasserschnecken,Anisus vorticulus,Zierliche Tellerschnecke,EN,Pflanzenreiche Stehgewässer,Weichtiere,"Schnecken,Muscheln"
103,Wasserschnecken,Aplexa hypnorum,Moosblasenschnecke,NT,Seeufer und Moore,Weichtiere,"Schnecken,Muscheln"
104,Wasserschnecken,Bithynia leachii,Kleine Schnauzenschnecke,EN,Ufer der grossen Seen und Flüsse,Weichtiere,"Schnecken,Muscheln"
105,Wasserschnecken,Bythinella padana,Schmidts Quellschnecke,VU,"Quellen, Tessin",Weichtiere,"Schnecken,Muscheln"
106,Wasserschnecken,Bythinella pupoides,Puppen-Quellschnecke,NT,Quellen und unterirdische Grundwasser,Weichtiere,"Schnecken,Muscheln"
107,Wasserschnecken,Bythiospeum alpinum,Alpen-Brunnenschnecke,VU,"Quellen und unterirdische Gewässer, endemisch",Weichtiere,"Schnecken,Muscheln"
108,Wasserschnecken,Bythiospeum charpyi,Charpys Brunnenschnecke,NT,Quellen und unterirdische Gewässer,Weichtiere,"Schnecken,Muscheln"
109,Wasserschnecken,Bythiospeum francomontanum,Freiberger Brunnenschnecke,NT,Quellen und unterirdische Gewässer,Weichtiere,"Schnecken,Muscheln"
110,Wasserschnecken,Bythiospeum rhenanum,Oberrheinische Brunnenschnecke,VU,Quellen und unterirdische Grundwasser,Weichtiere,"Schnecken,Muscheln"
111,Wasserschnecken,Bythiospeum sterkianum,Sterkis Brunnenschnecke,NT,Quellen und unterirdische Gewässer,Weichtiere,"Schnecken,Muscheln"
112,Wasserschnecken,Graziana quadrifoglio,Vierblatt-Zwergdeckelschnecke,VU,"Quellen und unterirdische Gewässer, endemisch",Weichtiere,"Schnecken,Muscheln"
113,Wasserschnecken,Gyraulus acronicus,Verbogenes Posthörnchen,EN,Kiesiger Grund der Seen und grossen Fliessgewässer,Weichtiere,"Schnecken,Muscheln"
114,Wasserschnecken,Gyraulus crista,Zwergposthörnchen,NT,"Seen, kleine Stehgewässer und Moore",Weichtiere,"Schnecken,Muscheln"
115,Wasserschnecken,Gyraulus laevis,Glattes Posthörnchen,VU,Steh- und Fliessgewässer,Weichtiere,"Schnecken,Muscheln"
116,Wasserschnecken,Islamia minuta,Rundmundige Quellschnecke,NT,Quellen und unterirdische Gewässer,Weichtiere,"Schnecken,Muscheln"
117,Wasserschnecken,Marstoniopsis insubrica,Insubrische Zwergdeckelschnecke,RE,"Uferzone der Stehgewässer, letzter Nachweis 1957",Weichtiere,"Schnecken,Muscheln"
118,Wasserschnecken,Physa fontinalis,Quell-Blasenschnecke,VU,"Kaltgewässer der Seen, Fliessgewässer und Quellen",Weichtiere,"Schnecken,Muscheln"
119,Wasserschnecken,Radix ampla,Weitmündige Schlammschnecke,VU,Geschützte See- und Flussufer,Weichtiere,"Schnecken,Muscheln"
120,Wasserschnecken,Segmentina nitida,Glänzende Tellerschnecke,VU,Seeufer und Moore und Gräben mit organischem Schlamm,Weichtiere,"Schnecken,Muscheln"
121,Wasserschnecken,Theodoxus fluviatilis,Gemeine Kahnschnecke,CR,Steh- und Fliessgewässer,Weichtiere,"Schnecken,Muscheln"
122,Wasserschnecken,Valvata macrostoma,Stumpfe Federkiemenschnecke,EN,Auengebiete der grossen Fliessgewässer,Weichtiere,"Schnecken,Muscheln"
123,Wasserschnecken,Valvata studeri,Bayerische Federkiemenschnecke,EN,Moore in Kontakt mit grossen Seen und Flüssen,Weichtiere,"Schnecken,Muscheln"
124,Wasserschnecken,Viviparus contectus,Spitze Sumpfdeckelschnecke,EN,Weiher und Auengebiete der grossen Fliessgewässer,Weichtiere,"Schnecken,Muscheln"
125,Süsswassermuscheln,Anodonta anatina,Flache Teichmuschel,VU,"Seeufer, Altwässer",Weichtiere,"Schnecken,Muscheln"
126,Süsswassermuscheln,Anodonta sp.,,EN,"Seeufer, Altwässer",Weichtiere,"Schnecken,Muscheln"
127,Süsswassermuscheln,Microcondylaea compressa,Kleinzahn-Flussmuschel,RE,"Einziger Nachweis aus dem Jahre 1923. Seeufer, Atlwässer",Weichtiere,"Schnecken,Muscheln"
128,Süsswassermuscheln,Pisidium amnicum,Grosse Erbsenmuschel,NT,Sandiger bis lehmiger Grund der Seen und Flüsse,Weichtiere,"Schnecken,Muscheln"
129,Süsswassermuscheln,Pisidium conventus,See-Erbsenmuschel,VU,Kaltgewässer der grossen Seen und alpinen Stehgewässer,Weichtiere,"Schnecken,Muscheln"
130,Süsswassermuscheln,Pisidium hibernicum,Glatte Erbsenmuschel,NT,"Seen, Weiher, Flüsse und Kanäle",Weichtiere,"Schnecken,Muscheln"
131,Süsswassermuscheln,Pisidium lilljeborgii,Kreisrunde Erbsenmuschel,VU,Sauerstoffreiche Uferzonen der grossen Seen,Weichtiere,"Schnecken,Muscheln"
132,Süsswassermuscheln,Pisidium obtusale,Stumpfe Erbsenmuschel,NT,"Seeufer, Weiher und Moore",Weichtiere,"Schnecken,Muscheln"
133,Süsswassermuscheln,Pisidium pseudosphaerium,Kugelige Erbsenmuschel,EN,Weiher und Moore der Tieflagen,Weichtiere,"Schnecken,Muscheln"
134,Süsswassermuscheln,Pisidium supinum,Dreieckige Erbsenmuschel,NT,Sandiger bis lehmiger Grund der Seen und Flüsse,Weichtiere,"Schnecken,Muscheln"
135,Süsswassermuscheln,Pisidium tenuilineatum,Kleinste Erbsenmuschel,VU,Fliessgewässer und phosphatarme Uferzonen,Weichtiere,"Schnecken,Muscheln"
136,Süsswassermuscheln,Unio crassus,Gemeine Bachmuschel,CR,"Sehr saubere Gewässer: Gräben, Bäche, Flüsse, Seeufer",Weichtiere,"Schnecken,Muscheln"
137,Süsswassermuscheln,Unio pictorum mancus,Südliche Malermuschel,EN,"Seeufer (Schlamm/Sand), Altwässer",Weichtiere,"Schnecken,Muscheln"
138,Süsswassermuscheln,Unio pictorum pictorum,Malermuschel,EN,"Seeufer (Sand, Feinkies), Altwässer",Weichtiere,"Schnecken,Muscheln"
139,Süsswassermuscheln,Unio tumidus,Aufgeblasene Flussmuschel,EN,"Seeufer (Schlamm/Sand), Altwässer",Weichtiere,"Schnecken,Muscheln"
